Nr.,User-ID,Zeitstempel,Methode,Typ
1,119,"2026-02-04 14:17:52",Unknown,129
2,110,"2026-02-04 20:31:27",Unknown,128
3,115,"2026-02-05 02:46:51",Unknown,128
4,110,"2026-02-05 04:29:01",Unknown,130
5,110,"2026-02-05 05:04:14",Unknown,131
6,110,"2026-02-05 05:04:47",Unknown,129
7,110,"2026-02-05 05:04:49",Unknown,129
8,119,"2026-02-05 09:47:34",Unknown,128
9,115,"2026-02-05 10:27:07",Unknown,129
10,119,"2026-02-05 12:58:41",Unknown,129
11,110,"2026-02-05 20:31:37",Unknown,128
12,115,"2026-02-06 02:50:38",Unknown,128
13,110,"2026-02-06 04:29:03",Unknown,130
14,110,"2026-02-06 05:00:29",Unknown,131
15,110,"2026-02-06 05:02:12",Unknown,129
16,110,"2026-02-06 05:02:14",Unknown,129
17,115,"2026-02-06 10:32:41",Unknown,129
18,119,"2026-02-07 10:11:09",Unknown,128
19,119,"2026-02-07 14:14:59",Unknown,129
20,110,"2026-02-08 20:31:20",Unknown,128
